Navn;Index_Value;UB_Snitt;UB
0831 Fyresdal;1,28;48096,50;61617,74
0833 Tokke;1,16;48096,50;55893,32
0834 Vinje;1,13;48096,50;54183,53
0901 Risør;1,04;48096,50;50209,26
0904 Grimstad;0,99;48096,50;47596,44
0906 Arendal;0,99;48096,50;47726,51
0911 Gjerstad;1,13;48096,50;54283,47
0912 Vegårshei;1,19;48096,50;57237,89
0914 Tvedestrand;1,10;48096,50;52746,82
0919 Froland;1,07;48096,50;51366,31
0926 Lillesand;1,02;48096,50;48982,71
0928 Birkenes;1,09;48096,50;52319,87
0929 Åmli;1,34;48096,50;64327,42
0935 Iveland;1,24;48096,50;59796,16
0937 Evje og Hornnes;1,11;48096,50;53173,84
0938 Bygland;1,35;48096,50;64762,39
0940 Valle;1,24;48096,50;59607,20
0941 Bykle;1,26;48096,50;60835,32
1001 Kristiansand;0,98;48096,50;46933,99
1002 Mandal;1,03;48096,50;49482,26
1003 Farsund;1,01;48096,50;48482,56
1004 Flekkefjord;1,10;48096,50;53023,70
1014 Vennesla;1,01;48096,50;48729,07
1017 Songdalen;1,05;48096,50;50670,93
1018 Søgne;0,99;48096,50;47703,20
1021 Marnardal;1,23;48096,50;59214,58
1026 Åseral;1,39;48096,50;66942,12
1027 Audnedal;1,24;48096,50;59452,94
1029 Lindesnes;1,11;48096,50;53362,56
1032 Lyngdal;1,08;48096,50;51749,69
1034 Hægebostad;1,24;48096,50;59441,33
1037 Kvinesdal;1,13;48096,50;54200,87
1046 Sirdal;1,24;48096,50;59836,19
1101 Eigersund;1,01;48096,50;48412,07
1102 Sandnes;0,95;48096,50;45926,01
1103 Stavanger;0,93;48096,50;44548,88
1106 Haugesund;0,97;48096,50;46806,83
1111 Sokndal;1,13;48096,50;54363,04
1112 Lund;1,12;48096,50;54016,78
1114 Bjerkreim;1,13;48096,50;54383,90
1119 Hå;0,99;48096,50;47673,46
1120 Klepp;0,97;48096,50;46868,65
1121 Time;0,97;48096,50;46588,41
1122 Gjesdal;0,99;48096,50;47699,29
1124 Sola;0,95;48096,50;45631,65
1127 Randaberg;0,97;48096,50;46510,21
1129 Forsand;1,37;48096,50;65900,85
1130 Strand;1,03;48096,50;49433,11
1133 Hjelmeland;1,21;48096,50;58097,10
1134 Suldal;1,22;48096,50;58536,52
1135 Sauda;1,09;48096,50;52615,39
1141 Finnøy;1,13;48096,50;54575,44
1142 Rennesøy;1,08;48096,50;51796,88
1144 Kvitsøy;1,50;48096,50;72058,99
1145 Bokn;1,37;48096,50;66093,95
1146 Tysvær;1,05;48096,50;50652,01
1149 Karmøy;0,99;48096,50;47451,03
1151 Utsira;2,34;48096,50;112752,92
1160 Vindafjord;1,06;48096,50;50765,11
1201 Bergen;0,95;48096,50;45540,50
1211 Etne;1,12;48096,50;54061,88
1216 Sveio;1,10;48096,50;52802,74
1219 Bømlo;1,07;48096,50;51568,61
1221 Stord;0,98;48096,50;47123,47
1222 Fitjar;1,11;48096,50;53417,09
1223 Tysnes;1,20;48096,50;57835,33
1224 Kvinnherad;1,08;48096,50;51886,37
1227 Jondal;1,37;48096,50;65653,64
1228 Odda;1,06;48096,50;50803,52
1231 Ullensvang;1,24;48096,50;59856,23
1232 Eidfjord;1,27;48096,50;61289,45
1233 Ulvik;1,36;48096,50;65213,52
1234 Granvin;1,28;48096,50;61475,17
1235 Voss;1,07;48096,50;51497,97
1238 Kvam;1,12;48096,50;53958,82
1241 Fusa;1,18;48096,50;56811,89
1242 Samnanger;1,12;48096,50;54081,77
1243 Os;1,00;48096,50;47870,93
1244 Austevoll;1,15;48096,50;55451,40
1245 Sund;1,04;48096,50;50095,34
1246 Fjell;0,97;48096,50;46687,31
1247 Askøy;1,02;48096,50;48844,45
1251 Vaksdal;1,18;48096,50;56862,82
1252 Modalen;1,87;48096,50;90131,58
1253 Osterøy;1,05;48096,50;50348,78
1256 Meland;1,05;48096,50;50355,03
1259 Øygarden;1,08;48096,50;51764,61
